iter	Passed	Remaining
0	621	129992
1	1232	128204
2	2110	145642
3	2984	153721
4	3473	142422
5	3941	134000
6	4416	128087
7	5096	128697
8	6009	134207
9	6596	131938
10	7102	128488
11	7666	126493
12	8670	131398
13	9370	131186
14	9808	127516
15	10251	124298
16	10749	122040
17	11658	124355
18	12233	122975
19	12626	119955
20	13047	117428
21	13532	115638
22	13936	113306
23	14392	111538
24	15081	111603
25	15494	109655
26	15985	108349
27	16415	106698
28	16864	105257
29	17584	105507
30	18340	105903
31	18727	104168
32	19150	102716
33	19583	101372
34	20188	100940
35	21034	101667
36	21587	100937
37	22031	99719
38	22480	98566
39	23088	98125
40	23855	98332
41	24525	98102
42	25315	98319
43	26446	99775
44	27091	99336
45	27851	99298
46	28625	99275
47	29237	98676
48	29921	98312
49	30522	97673
50	31239	97394
51	31820	96685
52	32430	96067
53	33093	95602
54	33853	95405
55	34539	94984
56	35191	94460
57	35829	93897
58	36345	93020
59	36934	92337
60	37559	91743
61	38344	91531
62	38994	90987
63	39647	90445
64	40397	90117
65	41031	89522
66	41602	88794
67	42149	88017
68	42641	87136
69	43316	86632
70	43845	85837
71	44385	85071
72	44905	84275
73	45569	83748
74	46104	82988
75	46764	82453
76	47490	82028
77	48241	81639
78	48783	80894
79	49275	80073
80	49842	79379
81	50501	78831
82	51024	78073
83	51587	77381
84	52132	76665
85	52809	76144
86	53370	75455
87	53883	74702
88	54406	73967
89	55052	73402
90	55565	72661
91	56112	71969
92	56642	71259
93	57225	70618
94	57876	70060
95	58468	69431
96	58997	68728
97	59537	68042
98	60172	67466
99	60674	66741
100	61199	66047
101	61760	65393
102	62367	64789
103	62905	64115
104	63452	63452
105	63984	62777
106	64655	62238
107	65235	61611
108	65766	60939
109	66256	60233
110	66898	59666
111	67496	59059
112	68017	58386
113	68505	57688
114	69056	57046
115	69686	56470
116	70179	55784
117	70682	55108
118	71199	54446
119	71830	53872
120	72349	53215
121	72832	52535
122	73334	51870
123	73855	51222
124	74499	50659
125	74985	49990
126	75548	49374
127	76103	48754
128	76725	48176
129	77308	47574
130	77920	46990
131	78410	46333
132	79158	45828
133	79714	45210
134	80237	44576
135	80758	43942
136	81536	43446
137	82075	42821
138	82588	42185
139	83140	41570
140	83745	40981
141	84502	40466
142	85120	39881
143	85702	39280
144	86411	38736
145	86910	38097
146	87391	37453
147	87861	36806
148	88370	36178
149	88961	35584
150	89469	34958
151	89994	34340
152	90513	33720
153	91154	33146
154	91726	32548
155	92223	31923
156	92708	31296
157	93238	30686
158	93849	30102
159	94348	29483
160	94875	28875
161	95520	28302
162	96332	27776
163	97063	27225
164	97754	26660
165	98463	26098
166	98994	25489
167	99586	24896
168	100176	24303
169	100745	23704
170	101312	23106
171	101927	22518
172	102582	21939
173	103251	21362
174	103851	20770
175	104498	20187
176	105163	19606
177	106161	19085
178	107214	18567
179	107812	17968
180	108434	17373
181	108981	16766
182	109529	16160
183	110084	15555
184	110789	14971
185	111406	14375
186	112024	13778
187	112665	13184
188	113291	12587
189	113771	11975
190	114305	11370
191	115335	10812
192	116057	10222
193	116723	9626
194	117367	9028
195	118103	8435
196	118614	7827
197	119146	7220
198	119764	6620
199	120389	6019
200	120958	5416
201	121502	4811
202	122054	4208
203	122858	3613
204	123513	3012
205	124106	2409
206	124680	1806
207	125295	1204
208	125834	602
209	126559	0
